iter	Logloss
0	0.5452387096
1	0.4362925366
2	0.3453040695
3	0.2887056136
4	0.2411278911
5	0.2073276393
6	0.1798880453
7	0.1551040482
8	0.1348221308
9	0.1189393398
10	0.1091001903
11	0.09746700732
12	0.09061834172
13	0.08320627442
14	0.0768367001
15	0.07005391561
16	0.06421058311
17	0.06021261836
18	0.05589392473
19	0.05302299549
20	0.05036762424
21	0.04712140203
22	0.04350215805
23	0.04060699862
24	0.03841611808
25	0.03686961288
26	0.03506098029
27	0.03287541581
28	0.03151355632
29	0.03038762196
30	0.02912612607
31	0.02833886263
32	0.02751478651
33	0.02644589588
34	0.02559061008
35	0.02453328206
36	0.02373246831
37	0.02283300286
38	0.02207192792
39	0.02058348983
40	0.0199824049
41	0.01953315924
42	0.01875994804
43	0.01828530878
44	0.01738506816
45	0.01658896955
46	0.01615388716
47	0.01597295396
48	0.01567402153
49	0.01531344465
